Agilent Technologies	A	Alcoa Inc	AA
United Cmnty Finl Co	UCFC	Ultra Clean Hldgs In	UCTT
Udr Inc	UDR	Union Drilling Inc	UDRL
US Dataworks Inc	UDW	Uranium Energy Corp	UEC
Universal Electrs In	UEIC	United Fire & Cas Co	UFCS
Unifi Inc	UFI	Universal Fst Prods	UFPI
Ufp Technologies Inc	UFPT	Domtar Corp	UFS
United Guardian Inc	UG	Ugi Corp New	UGI
Unigene Labs Inc	UGNE	Amerco	UHAL
Universal Health Svc	UHS	Universal Health Rlt	UHT
Uil Hldg Corp	UIL	Unisys Corp	UIS
Ultralife Batteries	ULBI	Urologix Inc	ULGX
Ulta Salon Cosmetcs & F	ULTA	Ultimate Software Gr	ULTI
Uluru Inc	ULU	Umb Finl Corp	UMBF
U M H Properties Inc	UMH	Umpqua Hldgs Corp	UMPQ
Unico Amern Corp	UNAM	Union Bancshares Inc	UNB
Unica Corp	UNCA	Universal Detection Tec	UNDT
Unifirst Corp Mass	UNF	United Nat Foods Inc	UNFI
Unify Corp	UNFY	Unitedhealth Group I	UNH
Unumprovident Corp	UNM	Union Pac Corp	UNP
Unisource Energy Cor	UNS	Unit Corp	UNT
United Online Inc	UNTD	Unity Bancorp Inc	UNTY
United Panam Financi	UPFC	Universal Power Grou	UPG
Uroplasty Inc	UPI	Ultra Pete Corp	UPL
United Parcel Servic	UPS	Uqm Technologies Inc	UQM
Urban Outfitters Inc	URBN	United Rentals Inc	URI
Uranium Res Inc	URRE	Urs Corp New	URS
USA Truck Inc	USAK	Universal Stainless	USAP
USA Technologies Inc	USAT	US Bancorp Del	USB
United Sec Bancshare	USBI	U S Energy Corp Wyo	USEG
U S G Corp	USG	U S Home Sys Inc	USHS
United States Lime &	USLM	United States Cellul	USM
USA Mobility Inc	USMO	USANA Inc	USNA
U S Physical Therapy	USPH	United Stationers In	USTR
USEC Inc	USU	Ultratech Inc	UTEK
United Therapeutics	UTHR	Universal Technical	UTI
Uti Worldwide Inc	UTIW	Utek Corp	UTK
Unitil Corp	UTL	Utah Med Prods Inc	UTMD
Unitrin Inc	UTR	Utstarcom Inc	UTSI
United Technologies	UTX	Universal Sec Instrs	UUU
Universal Ins Hldgs	UVE	Univest Corp Pa	UVSP
Universal Corp	UVV	United Westn Bancorp	UWBK
Nevada Gold & Casino	UWN	U S Gold Corp	UXG
Visa Inc	V	Valspar Corp	VAL
Value Line Inc	VALU	Varian Med Sys Inc	VAR
Varian Inc	VARI	Vascular Solutions I	VASC
Virginia Comm Bancor	VCBI	Vcg Hldg Corp	VCGH
Valassis Communicati	VCI	Valueclick Inc	VCLK
Viewcast Com Inc	VCST	Vasco Data Sec Intl	VDSI
Veeco Instrs Inc Del	VECO	Pet Drx Corporation	VETS
Velocity Express Corp	VEXP	V F Corp	VFC
Vonage Hldgs Corp	VG	Vector Group Ltd	VGR
Vista Gold Corp	VGZ	Virnetx Holding Corp	VHC
Valhi Inc New	VHI	Viacom Inc New -B	VIA.B
Via Pharmaceuticals Inc	VIAP	Vical Inc	VICL
Vicor Corp	VICR	Video Display Corp	VIDE
Food Technology Serv	VIFL	Vicon Inds Inc	VII
Vion Pharmaceuticals In	VION.Q	Virco Mfg Co	VIRC
Virage Logic Corp	VIRL	Vist Financial Corp	VIST
Orthovita Inc	VITA	Vitacost Com Inc	VITC
Meridian Bioscience	VIVO	Volcom Inc	VLCM
Village Super Mkt In	VLGE.A	Valence Technology I	VLNC
Valero Energy Corp N	VLO	Volterra Semiconduct	VLTR
Valley Natl Bancorp	VLY	Vulcan Matls Co	VMC
Virgin Media Inc	VMED	Valmont Inds Inc	VMI
Vmware Inc	VMW	Vineyard Natl Bancor	VNBC
Vanda Pharmaceutical	VNDA	Vornado Rlty Tr	VNO
Vocus Inc	VOCS	Volt Information Sci	VOL
Volcano Corporation	VOLC	Audiovox Corp	VOXX
Viewpoint Finl Group	VPFG	Viropharma Inc	VPHM
Vermont Pure Hldgs L	VPS	Venoco Inc	VQ
Validus Holdings Ltd	VR	Virtual Radiologic Corp	VRAD
Veraz Networks Inc	VRAZ	Vermillion Inc	VRMQ
Verenium Corp	VRNM	Verso Paper Corp	VRS
Verisk Analytics Inc	VRSK	Verisign Inc	VRSN
Vestin Rlty Mtg Ii Inc	VRTB	Virtus Invt Partners In	VRTS
Virtusa Corp	VRTU	Vertex Pharmaceutica	VRTX
Pharmasset Inc	VRUS	Valeant Pharmaceutic	VRX
Viasat Inc	VSAT	Vision-Sciences Inc	VSCI
Virtualscopics Inc	VSCP	Varian Semiconductor	VSEA
Vse Corp	VSEC	Vishay Intertechnolo	VSH
Vitamin Shoppe Inc	VSI	Versant Corp	VSNT
Versar Inc	VSR	Verasun Energy Corp	VSUQ
Vital Images Inc	VTAL	Inventiv Health Inc	VTIV
Ventas Inc	VTR	Vertro Inc	VTRO
Vectren Corp	VVC	Viad Corp	VVI
Valuevision Intl Inc	VVTV	Vivus Inc	VVUS
Verizon Communicatio	VZ	Wabtec Corp	WAB
Westamerica Bancorp	WABC	Walter Invt Mgmt Corp	WAC
Walgreen Co	WAG	Wainwright Bk&Tr Co	WAIN
Western Alliance Ban	WAL	Washington Tr Bancor	WASH
Waters Corp	WAT	Nextwave Wireless In	WAVE
Wave Systems Corp	WAVX	Wabco Hldgs Inc	WBC
Washington Bkg Co Oa	WBCO	Webmd Health Corp	WBMD
Webster Finl Corp Co	WBS	Websense Inc	WBSN
Wca Waste Corp	WCAA	West Coast Bancorp O	WCBO
Wesco Intl Inc	WCC	Wellcare Group Inc	WCG
Waste Connections In	WCN	Western Digital Corp	WDC
Wd 40 Co	WDFC	Waddell & Reed Finl	WDR
Webmediabrands Inc	WEBM	Wisconsin Energy Cor	WEC
White Electr Designs	WEDC	Boots & Coots/Intl W	WEL
Wendys Arbys Group Inc	WEN	Werner Enterprises I	WERN
Western Gas Partners Lp	WES	Western Sizzlin Corp	WEST
Winland Electrs Inc	WEX	Weyenberg Shoe Mfg	WEYS
Wells Fargo & Co New	WFC	Westfield Financial	WFD
Whole Foods Mkt Inc	WFMI	Memc Electr Matls In	WFR
Washington Fed Inc	WFSL	Wells Gardner Electr	WGA
Worldgate Communicat	WGAT	Wgl Hldgs Inc	WGL
Wegener Corp	WGNR	Winnebago Inds Inc	WGO
Woodward Governor Co	WGOV	Westwood Hldgs Group	WHG
W Hldg Co Inc	WHI	Wilhelmina Intl Inc	WHLM
Whirlpool Corp	WHR	Wilshire Bancorp Inc	WIBC
Windstream Corp	WIN	Winmark Corp	WINA
Winn Dixie Stores In	WINN	Encore Wire Corp	WIRE
Wits Basin Precious	WITM	Wilmington Trust Cor	WL
Westmoreland Coal Co	WLB	Willdan Group Inc	WLDN
Willis Lease Finance	WLFC	Westlake Chem Corp	WLK
Whiting Pete Corp Ne	WLL	Wellpoint Inc	WLP
Wilshire Oil Co Tex	WLSE	Walter Inds Inc	WLT
Waste Mgmt Inc Del	WM	West Marine Inc	WMAR
Williams Cos	WMB	Williams Ctls Inc	WMCO
Warner Music Group C	WMG	Wright Med Group Inc	WMGI
Weis Mkts Inc	WMK	Wms Industries Inc	WMS
Wal Mart Stores Inc	WMT	Williams Pipeline Partn	WMZ
Wabash Natl Corp	WNC	Wind Energy Amer Inc	WNEA
Schiff Nutrition Int	WNI	Western Refng Inc	WNR
Great Wolf Resorts I	WOLF	Vca Antech Inc	WOOF
Worthington Inds Inc	WOR	W P Carey & Co Llc	WPC
Wpcs Intl Inc	WPCS	Watson Pharmaceutica	WPI
Washington Post Co	WPO	Wausau-Mosinee Paper	WPP
Williams Partners L	WPZ	Westar Energy Inc	WR
Berkley W R Corp	WRB	Warnaco Group Inc	WRC
Washington Real Esta	WRE	Warren Res Inc	WRES
Weingarten Realty In	WRI	World Accep Corp Del	WRLD
Telular Corp	WRLS	Wesbanco Inc	WSBC
Waterstone Financial In	WSBF	Wesco Finl Corp	WSC
Wsi Inds Inc	WSCI	Wsfs Finl Corp	WSFS
Williams Sonoma Inc	WSM	Watsco Inc	WSO
West Pharmaceutical	WST	Wayside Technology G	WSTG
Westell Technologies	WSTL	West Bancorporation	WTBA
Wintrust Financial C	WTFC	W & T Offshore Inc	WTI
White Mtns Ins Group	WTM	Whitney Hldg Corp	WTNY
Aqua America Inc	WTR	Watts Water Tech	WTS
Wet Seal Inc	WTSL.A	Wireless Telecom Gro	WTT
Weight Watchers Intl	WTW	Western Un Co	WU
Willamette Vy Vineya	WVVI	World Wrestling Entr	WWE
Westwood One Inc	WWON	Warwick Valley Tel C	WWVY
Wolverine World Wide	WWW	Web Com Group Inc	WWWW
Whx Corp	WXCO	Wright Express Corp	WXS
Weyerhaeuser Co	WY	Wyndham Worldwide Co	WYN
Wynn Resorts Ltd	WYNN	Widepoint Corp	WYY
Wizzard Software Cor	WZE	United States Stl Co	X
Xata Corp	XATA	Exco Resources Inc	XCO
Xcorporeal Inc	XCR	Cimarex Energy Co	XEC
Xcel Energy Inc	XEL	Xeta Corp	XETA
Exide Technologies	XIDE	Expressjet Holdings Inc	XJT
Xl Cap Ltd	XL	Xilinx Inc	XLNX
Xenonics Hldgs Inc	XNN	Xenoport Inc	XNPT
Exxon Mobil Corp	XOM	Xoma Ltd	XOMA
Solitario Expl & Rty Co	XPL	Express 1 Expedited	XPO
Lecg Corp	XPRT	Dentsply Intl Inc Ne	XRAY
X-Rite Inc	XRIT	Xerium Technologies	XRM
Xerox Corp	XRX	Crosstex Energy L P	XTEX
Xto Energy Corp	XTO	Crosstex Energy Inc	XTXI
Ixia	XXIA	Alleghany Corp	Y
Yadkin Valley Financ	YAVY	Young Innovations In	YDNT
Yahoo Inc	YHOO	York Wtr Co	YORW
Yrc Worldwide Inc	YRCW	U Store It Tr	YSI
Yum Brands Inc	YUM	Zanett Inc	ZANE
Zbb Energy Corporation	ZBB	Zebra Technologies C	ZBRA
Zep Inc	ZEP	Olympic Steel Inc	ZEUS
Zymogenetics Inc	ZGEN	Zhone Technologies I	ZHNE
Zygo Corp	ZIGO	Zilog Inc	ZILG
Horsehead Hldg Corp	ZINC	Zions Bancorp	ZION
Ziopharm Oncology In	ZIOP	Ziprealty Inc	ZIPR
Zix Corp	ZIXI	Zale Corp New	ZLC
Zimmer Hldgs Inc	ZMH	Zion Oil & Gas Inc	ZN
Zenith Natl Ins Corp	ZNT	Zoll Med Corp	ZOLL
Zoltek Cos Inc	ZOLT	Zoom Technologies Inc D	ZOOM
Quiksilver Inc	ZQK	Zoran Corp	ZRAN
Z Trim Hldgs	ZTHO	Zumiez Inc	ZUMZ
Sealy Corp	ZZ
