Agilent Technologies	A	Alcoa Inc	AA
Brooks Automation In	BRKS	Bio-Reference Labs I	BRLI
Barnwell Inds Inc	BRN	Bronco Drilling Co I	BRNC
Brown & Brown Inc	BRO	Bristow Group Inc	BRS
Brt Rlty Tr	BRT	Berry Pete Co	BRY
Bsd Med Corp Del	BSDM	Bassett Furniture In	BSET
Biosphere Medical In	BSMD	Bsquare Corp	BSQR
Sierra Bancorp	BSRR	Biospecifics Technol	BSTC
Boston Scientific Co	BSX	Banctrust Financial	BTFG
Blyth Inc	BTH	Biotime Inc	BTIM
Ballantyne Omaha Inc	BTN	Peabody Energy Corp	BTU
Btu Intl Inc	BTUI	Bucyrus Intl Inc New	BUCY
Butler Natl Corp	BUKS	First Busey Corp	BUSE
Broadvision Inc	BVSN	Bovie Medical Corp	BVX
Brush Engineered Mat	BW	Borg-Warner Automoti	BWA
Baldwin & Lyons Inc	BWIN.B	Buffalo Wild Wings I	BWLD
Boardwalk Pipeline P	BWP	Brown Shoe Inc New	BWS
Basin Wtr Inc	BWTR	Bway Holding Company	BWY
Blackstone Group L P	BX	Bluelinx Hldgs Inc	BXC
Bluegreen Corp	BXG	Boston Properties In	BXP
Bancorpsouth Inc	BXS	Boyd Gaming Corp	BYD
Bally Technologies I	BYI	Boise Inc	BZ
Beazer Homes Usa Inc	BZH	Citigroup Inc	C
Ca Inc	CA	Cabelas Inc	CAB
Camden Natl Corp	CAC	Cascade Bancorp	CACB
Credit Accep Corp Mi	CACC	Cache Inc	CACH
Caci Inc	CACI	Cadence Finl Corp	CADE
Cadence Pharmaceutic	CADX	Camco Finl Corp	CAFI
Conagra Foods Inc	CAG	Cardinal Health Inc	CAH
Cheesecake Factory I	CAKE	Continental Airls In	CAL
California Coastal C	CALC	Callidus Software In	CALD
Cal Maine Foods Inc	CALM	Caliper Life Science	CALP
Cameron Internationa	CAM	Cambridge Heart Inc	CAMH
Calamp Corp	CAMP	Cai International Inc	CAP
Orthologic Corp	CAPS	Avis Budget Group	CAR
Castle A M & Co	CAS	Cascade Finl Corp	CASB
Cascade Corp	CASC	Meta Finl Group Inc	CASH
Cas Medical Sys Inc	CASM	Cass Information Sys	CASS
Caseys Gen Stores	CASY	Caterpillar Inc	CAT
Cardtronics Inc	CATM	Cato Corp New	CATO
Cathay Bancorp Inc	CATY	Cavium Networks Inc	CAVM
Cca Inds Inc	CAW	Chubb Corp	CB
Bank Southn Ore Medf	CBAN	Cincinnati Bell Inc	CBB
Columbia Bancorp Ore	CBBO	Capitol Bancorp Ltd	CBC
Cbeyond Communicatio	CBEY	Cb Richard Ellis Gro	CBG
Community Bk Shs Ind	CBIN	Christopher & Banks	CBK
Capital Bk Corp	CBKN	Cbl & Assoc Pptys In	CBL
Cleveland Biolabs In	CBLI	Cambrex Corp	CBM
Calypte Biomedical C	CBMC	Combimatrix Corporation	CBMX
Cape Bancorp Inc	CBNJ	Chicopee Bancorp Inc	CBNK
Community Bancorp Ne	CBON	Caribou Coffee Inc	CBOU
Ciber Inc	CBR	Cracker Barrel Old Ctry	CBRL
Columbia Labs Inc	CBRX	Cbs Corp	CBS
Commerce Bancshares	CBSH	Cubist Pharmaceutica	CBST
Cabot Corp	CBT	Commonwealth Biotech	CBTE
Community Bk Sys Inc	CBU	Cbiz Inc	CBZ
Capital City Bk Grou	CCBG	Calgon Carbon Corp	CCC
Coca Cola Enterprise	CCE	Cryo-Cell Intl Inc	CCEL
Chase Corp	CCF	Crown Castle Intl Co	CCI
Coleman Cable Inc	CCIX	Crown Holdings Inc	CCK
Carnival Corp	CCL	Cabot Microelectroni	CCMP
Cnb Finl Corp Pa	CCNE	Clear Channel Outdoo	CCO
Cogent Comm Group In	CCOI	Cross Ctry Healthcar	CCRN
Compucredit Hldgs Corp	CCRT	Concurrent Computer Cor	CCUR
Coeur D Alene Mines Cor	CDE	C D I Corp	CDI
Cadence Designs Sys	CDNS	Cedar Shopping Ctrs	CDR
Clean Diesel Technologi	CDTI	Cadiz Inc	CDZI
Celanese Corp Del	CE	Cec Entmt Inc	CEC
Ceco Environmental C	CECE	Career Education Cor	CECO
Central European Dis	CEDC	Constellation Energy	CEG
Celgene Corp	CELG	Brightpoint Inc	CELL
Chemtura Corp	CEMJQ	Central Garden & Pet	CENT.A
Century Alum Co	CENX	Cephalon Inc	CEPH
Cerner Corp	CERN	Cerus Corp	CERS
Ceva Inc	CEVA	Cf Inds Hldgs Inc	CF
Central Fed Corp	CFBK	Community Finl Corp	CFFC
C & F Finl Corp	CFFI	Capitol Fed Finl	CFFN
Culp Inc	CFI	Brinks Home Sec Hldgs I	CFL
Carefusion Corp	CFN	California First Ntn	CFNB
Cardinal Finl Corp	CFNL	Cullen Frost Bankers	CFR
Comforce Corp	CFS	Cano Pete Inc	CFW
Colfax Corp	CFX	Celadon Group Inc	CGI
Cognex Corp	CGNX	Consolidated Graphic	CGX
